name,link,severity,package,version,fixedBy
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,LOW,mount,2.41-5,
CVE-2025-6141,https://avd.aquasec.com/nvd/cve-2025-6141,LOW,ncurses-base,6.5+20250216-2,
CVE-2025-6141,https://avd.aquasec.com/nvd/cve-2025-6141,LOW,ncurses-bin,6.5+20250216-2,
CVE-2026-2673,https://avd.aquasec.com/nvd/cve-2026-2673,LOW,openssl,3.5.5-1~deb13u1,
CVE-2026-2673,https://avd.aquasec.com/nvd/cve-2026-2673,LOW,openssl-provider-legacy,3.5.5-1~deb13u1,
CVE-2007-5686,https://avd.aquasec.com/nvd/cve-2007-5686,LOW,passwd,1:4.17.4-2,
CVE-2024-56433,https://avd.aquasec.com/nvd/cve-2024-56433,LOW,passwd,1:4.17.4-2,
TEMP-0628843-DBAD28,https://security-tracker.debian.org/tracker/TEMP-0628843-DBAD28,LOW,passwd,1:4.17.4-2,
CVE-2011-4116,https://avd.aquasec.com/nvd/cve-2011-4116,LOW,perl-base,5.40.1-6,
TEMP-0517018-A83CE6,https://security-tracker.debian.org/tracker/TEMP-0517018-A83CE6,LOW,sysvinit-utils,3.14-4,
CVE-2005-2541,https://avd.aquasec.com/nvd/cve-2005-2541,LOW,tar,1.35+dfsg-3.1,
TEMP-0290435-0B57B5,https://security-tracker.debian.org/tracker/TEMP-0290435-0B57B5,LOW,tar,1.35+dfsg-3.1,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,util-linux,2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,util-linux,2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,LOW,util-linux,2.41-5,
